storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
0,미영이네식당,"https://mp-seoul-image-production-s3.mangoplate.com/14929/765769_1501045132814_19649?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.7,해산물 요리,제주 모슬포/화순 ,"250,842",106
1,스시호시카이,"https://mp-seoul-image-production-s3.mangoplate.com/183601/2079053_1633961991545_7055?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.6,회 / 스시,제주 제주시내 ,"180,666",50
2,남양수산,"https://mp-seoul-image-production-s3.mangoplate.com/1799695_1620454174648977.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.6,해산물 요리,제주 성산/우도 ,"406,085",112
3,상춘재,"https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/183680/1062290_1594966931482?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,한정식 / 백반 / 정통 한식,제주 함덕/김녕 ,"472,482",132
4,숙성도,"https://mp-seoul-image-production-s3.mangoplate.com/1514074_1595943058420449.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,고기 요리,제주 제주시내 ,"154,548",81
5,윌라라,"https://mp-seoul-image-production-s3.mangoplate.com/189499/652152_1632044381392_13823?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,시푸드 요리,제주 성산/우도 ,"34,399",18
6,우연못,"https://mp-seoul-image-production-s3.mangoplate.com/439151/rm2g1nkyclflkb.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,카페 / 디저트,제주 제주시내 ,"7,907",8
7,르부이부이,"https://mp-seoul-image-production-s3.mangoplate.com/396373/1023176_1661954481426_83496?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,프랑스 음식,제주 제주시내 ,"8,584",5
8,논짓물,"https://mp-seoul-image-production-s3.mangoplate.com/18705/8-oyultlnzzu_u.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,한정식 / 백반 / 정통 한식,제주 제주시내 ,"18,818",12
9,곰막,"https://mp-seoul-image-production-s3.mangoplate.com/1840481_1632234938924790.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,해산물 요리,제주 함덕/김녕 ,"200,329",94
10,오드랑베이커리,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/294426_1490510584369174.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,베이커리,제주 함덕/김녕 ,"110,157",93
11,중문수두리보말칼국수,"https://mp-seoul-image-production-s3.mangoplate.com/478541_1526614739224087.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,국수 / 면 요리,제주 중문단지 ,"168,023",75
12,숙성도,"https://mp-seoul-image-production-s3.mangoplate.com/1688629_1611661288162331.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,(중문점),제주 중문단지 ,"42,578",51
13,맛나식당,"https://mp-seoul-image-production-s3.mangoplate.com/1403730_1630062555674414.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,한정식 / 백반 / 정통 한식,제주 성산/우도 ,"156,331",73
14,밀리우,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/1427_1452169170238.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,(제주해비치호텔),제주 표선/성읍 ,"100,940",15
15,제주맥주,"https://mp-seoul-image-production-s3.mangoplate.com/1135678_1536996100991525.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,치킨 / 호프 / 펍,제주 한림/애월 ,"25,222",19
16,연리지가든,"https://mp-seoul-image-production-s3.mangoplate.com/380175/1227868_1598766748729_15781?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,고기 요리,제주 한림/애월 ,"75,955",24
17,산노루,"https://mp-seoul-image-production-s3.mangoplate.com/523935_1623160431393917.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,카페 / 디저트,제주 한림/애월 ,"49,173",18
18,토투가커피,"https://mp-seoul-image-production-s3.mangoplate.com/355408/1544822_1626677074729_28458?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,카페 / 디저트,제주 한림/애월 ,"15,398",11
19,빵귿,"https://mp-seoul-image-production-s3.mangoplate.com/40495_1618798325519918.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,베이커리,제주 제주시내 ,"27,363",17
20,표선어촌식당,"https://mp-seoul-image-production-s3.mangoplate.com/18173/568376_1471087588504_6254?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,해산물 요리,제주 표선/성읍 ,"56,030",22
21,카페 귤꽃다락,"https://mp-seoul-image-production-s3.mangoplate.com/626946_1624023615314464.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,카페 / 디저트,제주 서귀포시내 ,"13,183",12
22,복집식당,"https://mp-seoul-image-production-s3.mangoplate.com/183377/1468743_1633427216344_71806?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,기타 한식,제주 제주시내 ,"13,474",7
23,제주선채향,"https://mp-seoul-image-production-s3.mangoplate.com/417820/1536664_1634605018065_30585?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,해산물 요리,제주 모슬포/화순 ,"18,533",11
24,포도원흑돼지,"https://mp-seoul-image-production-s3.mangoplate.com/460278_1530511217916235.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,고기 요리,제주 제주시내 ,"10,991",11
25,살찐고등어,"https://mp-seoul-image-production-s3.mangoplate.com/131534_1625546780070032.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,돈부리 / 일본 카레 / 벤토,제주 함덕/김녕 ,"23,153",12
26,우진해장국,"https://mp-seoul-image-production-s3.mangoplate.com/153948/114224_1495617984049_21416?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,탕 / 찌개 / 전골,제주 제주시내 ,"287,771",374
27,카페태희,"https://mp-seoul-image-production-s3.mangoplate.com/150739/806990_1515055796397_573?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,브런치 / 버거 / 샌드위치,제주 한림/애월 ,"233,892",107
28,선흘곶,"https://mp-seoul-image-production-s3.mangoplate.com/330896/828476_1501746541676_17768?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 함덕/김녕 ,"241,562",97
29,일통이반,"https://mp-seoul-image-production-s3.mangoplate.com/added_restaurants/186440_1471230240712514.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,해산물 요리,제주 제주시내 ,"115,224",62
30,천짓골식당,"https://mp-seoul-image-production-s3.mangoplate.com/942396_1591161097920260.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,고기 요리,제주 서귀포시내 ,"117,309",54
31,더스푼,"https://mp-seoul-image-production-s3.mangoplate.com/680108_1494316552712920.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,이탈리안,제주 제주시내 ,"46,373",22
32,진아떡집,"https://mp-seoul-image-production-s3.mangoplate.com/665695_1518619727538669.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,카페 / 디저트,제주 제주시내 ,"111,772",83
33,섭지코지로,"https://mp-seoul-image-production-s3.mangoplate.com/1848213_1608871193696856.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,해산물 요리,제주 성산/우도 ,"76,526",43
34,넉둥베기,"https://mp-seoul-image-production-s3.mangoplate.com/1322635_1592053614692341.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.3,한정식 / 백반 / 정통 한식,제주 제주시내 ,"64,472",27
